45
25
49 49 49 49 49 49 49 49 49 49 41 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 
49 49 49 49 49 49 49 49 49 49 41 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 	0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  40                                                                                   
49 49 49 49 49 49 49 49 49 49 41 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 	0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  40
49 49 49 49 49 49 49 49 49 49 41 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 	0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  40
49 49 49 49 49 49 49 49 49 49 39 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 	0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  40
49 49 49 49 49 49 49 49 49 49 39 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 	0  0  0  0  0  0  0  0  0  0  0  14 0  0  0  10 40
49 29 27 27 29 29 27 27 29 27 28 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 	0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  12 40
39 0  0  0  0  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 	0  0  0  0  0  0  0  0  14 0  0  0  0  0  0  0  40
39 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  33 0  0  0  0 	0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  40
41 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 	0  0  0  0  53 0  0  0  0  0  0  0  0  0  0  0  40
39 0  0  0  0  0  0  0  0  0  0  0  0  0  53 56 1  0  0  0  0  0  0  0  0  17 19 21	21 21 21 21 18 0  0  0  0  0  0  0  0  0  0  0  40
41 0  0  0  0  0  0  0  0  0  0  0  0  0  13 14 15 0  0  0  0  32 0  0  0  0  30 49	9  49 49 31 0  0  0  0  0  0  0  0  0  0  0  0  40
39 0  0  0  0  0  0  0  0  0  0  13 14 14 49 41 0  0  0  0  0  0  0  0  0  0  0  38	0  38 31 0  0  0  0  0  0  0  0  0  0  0  0  0  40
39 0  0  0  25 21 21 21 25 14 14 49 49 49 27 29 0  0  0  0  0  0  0  0  0  0  0  37	0  36 0  0  0  0  0  0  0  0  0  0  0  0  0  0  40
49 14 14 16 39 0  0  0  40 49 49 49 49 39 0  5  0  0  0  0  0  0  0  0  0  0  0  36	0  38 0  0  0  0  0  0  0  0  0  0  0  0  0  0  40
49 49 49 49 39 0  0  0  40 49 29 29 29 39 0  0  0  0  0  0  0  0  0  0  0  0  0  36	0  38 0  0  0  0  0  0  0  0  0  0  0  0  0  0  40
49 49 49 49 39 0  0  0  40 39 11 0  0  41 0  0  0  0  0  0  0  0  0  0  0  0  0  36	0  37 0  0  0  0  0  0  0  0  0  0  0  0  0  0  40
49 49 49 49 41 0  0  0  42 39 0  0  0  41 0  0  0  0  0  0  0  0  0  0  0  0  0  37	0  36 0  0  0  0  0  0  0  0  0  0  0  0  0  0  40
49 49 49 49 39 0  0  0  42 41 0  0  0  41 0  0  0  0  0  0  0  0  0  0  0  0  0  37	35 36 0  0  0  0  0  0  0  0  0  0  0  0  0  0  40
49 49 49 49 41 0  0  0  42 28 0  0  0  41 0  0  0  0  0  0  0  0  0  0  0  0  0  3 	35 36 0  0  0  0  0  0  0  0  0  0  0  0  0  0  40
49 49 49 49 41 0  0  0  40 0  0  0  0  39 0  0  0  0  0  0  0  0  0  0  0  0  0  0 	0  36 0  0  0  0  0  0  0  0  0  0  0  0  0  0  40
49 49 49 49 41 0  0  0  42 0  0  0  26 41 0  0  0  0  0  0  0  0  0  0  0  0  0  0 	0  37 0  0  0  0  0  0  0  0  0  0  0  0  0  0  40
49 49 49 49 41 0  0  0  40 0  0  0  42 41 0  0  0  0  0  0  0  0  0  0  0  0  0  0 	0  38 0  0  0  0  0  0  0  0  0  0  0  0  0  0  40
49 49 49 49 39 0  0  0  40 0  0  0  42 41 0  0  0  0  0  0  0  0  0  0  0  0  0  0 	0  38 0  0  0  0  0  0  0  0  0  0  0  0  0  55 40
49 49 49 49 41 14 14 14 42 14 14 14 14 16 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 49
